<<<<<<< HEAD
﻿id,name,type,rank,class,effect,owners,trigger_rate
95,夜叉の一撃,固有,品質：A,自律,発動率:35%戦法発動後、次のターンの自身の行動時、ランダムな敵1人に武勇攻撃(ダメージ率248%)を仕掛ける,原虎胤,0.35
96,虎嘯風生,固有,品質：A,自律,発動率:35%自身以外の味方2人に援護を付与し、自身に反撃(ダメージ率60%)を付与する。各効果は2ターン目の行動開始前まで持続する,,0.35
97,豪胆猛撃,固有,品質：A,自律,発動率:30%ランダムな敵2人に武勇攻撃(ダメージ率90%)を仕掛け、ダメージを与えた敵の統率が30減少する。効果は2ターン後の行動開始前まで持続する,,0.3
98,剣豪将軍,固有,品質：A,追撃,発動率:100%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率238%)を仕掛ける,足利義輝,1.0
99,臨機応変,固有,品質：A,内政,発動率:50%城下町施設の木材の産出量が800増加する,,0.5
100,苦難連撃,固有,品質：A,追撃,発動率:50%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率110%)を仕掛ける,山中幸盛,0.5
101,両翼奇襲,固有,品質：A,自律,発動率:35%戦法発動後、次のターンの自身の行動時、ランダムな敵2人に知略攻撃(ダメージ率90%)を仕掛け、火傷(ダメージ率90%)を付与する。効果は付与後に2回、行動開始すると終了する,沼田祐光,0.35
102,風塵烈波,固有,品質：A,自律,発動率:50%ランダムな敵1人に3回知略攻撃(ダメージ率80%)を仕掛け、40%の確率で同一の敵に追加で知略攻撃(ダメージ率80%)を3回仕掛ける,,0.5
103,かぶき踊り,固有,品質：A,自律,発動率:50%ランダムな味方2人の兵力を回復する(回復率102%),,0.5
104,鬼小十郎,固有,品質：A,自律,発動率:100%3ターン後の行動開始前まで、ランダムな敵1人に挑発を付与し、その敵の武勇を、2ターン後の行動開始前まで60減少させる,,1.0
105,退き佐久間,固有,品質：A,指揮,発動率:50%戦闘開始後最初の2ターンが経過するまでに味方それぞれが攻撃を受けた場合、50%の確率で抵抗を1回付与する,,0.5
106,鎮圧迎撃,固有,品質：A,自律,発動率:40%戦法発動後、次のターンの自身の行動時、ランダムな敵1人に2回武勇攻撃(ダメージ率120%)を仕掛ける,,0.4
107,多芸多才,固有,品質：A,自律,発動率:25%ランダムな敵2人に丸腰を付与する。効果は付与後3回目の行動開始前まで持続する,細川藤孝,0.25
108,陣間穿突,固有,品質：A,自律,発動率:50%ランダムな敵1人に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,,0.5
109,冷徹の明,固有,品質：A,自律,発動率:25%戦法発動後、次のターンの自身の行動時に敵2人に知略攻撃(ダメージ率124%)を仕掛ける,,0.25
110,鬼突猛進,固有,品質：A,自律,発動率:50%ランダムな敵1人に武勇攻撃(ダメージ率170%)を仕掛け、同時に混乱を付与する。効果は付与後2回目の行動開始前まで持続する,本庄繁長,0.5
111,側面突撃,固有,品質：A,自律,発動率:50%敵副将1人目に武勇攻撃(ダメージ率118%)を仕掛ける,,0.5
112,四方突撃,固有,品質：A,自律,発動率:30%敵副将2人目に武勇攻撃(ダメージ率118%)を仕掛ける,島津忠恒,0.3
113,中興の祖,固有,品質：A,自律,発動率:50%味方1人に回復を与える(回復率88%)。回復効果は3回発動し、対象は1回毎にランダムとなる,,0.5
114,猛進勇槍,固有,品質：A,自律,発動率:35%戦法発動後、次のターンの自身の行動時にランダムな敵2人に武勇攻撃(ダメージ率100%)を仕掛け、20%の確率で追加で1回武勇攻撃(ダメージ率100%)を仕掛ける,結城秀康,0.35
115,苦心再起,固有,品質：A,自律,発動率:35%ランダムな敵2人に恐慌(ダメージ率166%)を付与する。効果は付与後に2回、行動開始すると終了する,,0.35
116,忠心救護,固有,品質：A,自律,発動率:50%味方それぞれの兵力が回復する(回復率80%),,0.5
117,剛力突擊,固有,品質：A,自律,発動率:100%ランダムな敵2人に知略攻撃(ダメージ率67%)を仕掛け、同時に中毒(ダメージ率67%)を付与する。効果は付与後に1回、行動開始すると終了する,,1.0
118,大一大万大吉,固有,品質：A,内政,発動率:100%城下町施設の石材の産出量が800増加する,,1.0
119,徳善の道,固有,品質：A,内政,発動率:60%城下町施設の食糧の産出量が800増加する,,0.6
120,勇将の愛,固有,品質：A,自律,発動率:100%戦法発動後、次のターンの自身の行動時、ランダムな敵2人に武勇攻撃(ダメージ率104%)を仕掛ける,,1.0
121,仙姿玉質,固有,品質：A,内政,発動率:100%名声値上限が200増加する,,1.0
122,傾国の姫,固有,品質：A,内政,発動率:50%効果発動後、重傷になった武将の回復時間が120秒短縮する,,0.5
123,黒衣の宰相,固有,品質：A,自律,発動率:35%ランダムな味方1人に救急(75%の確率で、回復率100%)を付与し、効果は2ターン後の行動開始前まで持続する,,0.35
124,小一郎の手腕,固有,品質：A,自律,発動率:100%ランダムな味方2人の被ダメージが、本来の30%減少する。効果は1ターン後の行動開始前まで持続する,羽柴秀長,1.0
125,訓戒状,固有,品質：A,指揮,発動率:100%戦闘開始後最初の4ターン、ランダムな味方2人の被ダメージが、本来の25%減少する。,,1.0
126,先見,固有,品質：A,内政,発動率:30%部隊の進軍速度が4%増加する,,0.3
127,天の祝福,固有,品質：A,自律,発動率:50%ランダムな敵2人に武勇攻撃(ダメージ率160%)を仕掛け、ランダムな味方2人の統率が30増加する。効果は2ターン後の行動開始前まで持続する,,0.5
128,熟慮の将,固有,品質：A,自律,発動率:40%戦法発動後、次のターンの自身の行動時、ランダムな味方2人の与ダメージが本来の40%増加する。効果は2ターン後の行動開始前まで持続する,真田信幸,0.4
129,後方鎮座,固有,品質：A,自律,発動率:100%ランダムな味方2人に反撃(ダメージ率60%)を付与する。効果は2ターン後の行動開始前まで持続する,,1.0
130,財算全識,固有,品質：A,内政,発動率:100%調達の資源産出量が4%増加する,,1.0
131,大普請,固有,品質：A,内政,発動率:100%城下町施設の食糧・木材・鉄・石材の産出量が1%増加する,,1.0
132,吏僚の慧眼,固有,品質：A,内政,発動率:30%城下町施設の銅銭の産出量が4%増加する,,0.3
133,統治の名人,固有,品質：B,自律,発動率:50%自身の被ダメージが、本来の50%減少する。効果は1ターン後の行動開始前まで持続する,,0.5
134,一番猛突,固有,品質：B,追撃,発動率:100%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率106%)を仕掛ける,,1.0
135,七本槍の水攻め,固有,品質：B,受動,発動率:35%自身の武勇が30増加する,,0.35
136,不屈攻込,固有,品質：B,自律,発動率:30%戦法発動後、次のターンの自身の行動時、ランダムな敵2人に武勇攻撃(ダメージ率160%)を仕掛ける,,0.3
137,三人衆筆頭,固有,品質：B,自律,発動率:30%ランダムな味方2人の被ダメージが、本来の25%減少する。効果は1ターン後の行動開始前まで持続する,,0.3
138,三人衆の威光,固有,品質：B,自律,発動率:100%ランダムな敵1人に動揺(ダメージ率124%)を付与する。効果は付与後に3回、行動開始すると終了する,,1.0
139,不撓不屈,固有,品質：B,自律,発動率:100%自身に洞察を付与する。効果は2ターン後の行動開始前まで持続する,,1.0
140,無傷の将,固有,品質：B,指揮,発動率:45%戦闘開始後、2ターン目に味方それぞれに対して浄化を付与し、兵力を回復する(回復率150%),,0.45
141,忠義の一撃,固有,品質：B,自律,発動率:50%味方の大将に反撃(ダメージ率60%)を付与する。効果は2ターン後の行動開始前まで持続する,,0.5
142,虎の猛攻,固有,品質：B,追撃,発動率:35%敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率84%)を1回仕掛ける,,0.35
143,夜討ち,固有,品質：B,自律,発動率:100%ランダムな敵1人に武勇攻撃(ダメージ率140%)を仕掛ける,,1.0
144,報恩の鼓舞,固有,品質：B,受動,発動率:45%自身の統率が30増加する,,0.45
145,気相の将,固有,品質：B,自律,発動率:30%戦法発動後、次のターンの自身の行動時、敵全員に知略攻撃(ダメージ率66%)を仕掛ける,,0.3
146,鬼の咆哮,固有,品質：B,自律,発動率:100%ランダムな敵2人の被ダメージを、本来の25%増加させる。効果は1ターン後の行動開始前まで持続する,,1.0
147,姫路城の再建,固有,品質：B,受動,発動率:40%自身が行動する前に、兵力を回復する(回復率30%),,0.4
148,悪屋形の企み,固有,品質：B,追撃,発動率:35%敵1人に通常攻撃後、同一の敵に追加で逆手(ダメージ率80%)を付与する。効果は付与後に1回、行動開始すると終了する,,0.35
149,鬼武蔵の背撃ち,固有,品質：B,自律,発動率:45%ランダムな敵2人の味方それぞれへの与ダメージを、本来の20%減少させる。効果は2ターン後の行動開始前まで持続する,,0.45
150,追討の痛撃,固有,品質：B,追撃,発動率:60%敵1人に通常攻撃後、同一の敵に追加で動揺(ダメージ率94%)を付与する。効果は付与後に2回、行動開始すると終了する,,0.6
151,知勇兼備,固有,品質：B,自律,発動率:40%ランダムな味方1人の兵力を回復する(回復率150%),,0.4
152,奉行の神髄,固有,品質：B,自律,発動率:100%戦法発動後、次のターンの自身の行動時、ランダムな敵2人に恐慌(ダメージ率120%)を付与する。効果は付与後に2回、行動開始すると終了する,,1.0
153,沈着決断,固有,品質：B,内政,発動率:100%城下町施設の食糧・木材・鉄・石材の産出量が100増加する,,1.0
154,大国奉行,固有,品質：B,内政,発動率:100%城下町施設の木材の産出量が400増加する,,1.0
155,福音普及,固有,品質：B,内政,発動率:100%城下町施設の鉄の産出量が400増加する,,1.0
156,織部流の作法,固有,品質：B,内政,発動率:100%城下町施設の石材の産出量が400増加する,,1.0
157,恩寵の光,固有,品質：B,内政,発動率:100%城下町施設の食糧の産出量が400増加する,,1.0
158,鬼奉行,固有,品質：B,内政,発動率:100%城下町施設の銅銭の産出量が60増加する,,1.0
159,茂助の働き,固有,品質：B,内政,発動率:30%調達の資源産出量が2%増加する,,0.3
160,粗略の豪傑,固有,品質：B,自律,発動率:100%ランダムな味方2人の与ダメージが本来の25%増加する。効果は1ターン後の行動開始前まで持続する,,1.0
161,文武の槍,固有,品質：C,受動,発動率:100%自身の武勇が10増加する,,1.0
162,無心の傅役,固有,品質：C,自律,発動率:35%ランダムな味方1人に洞察を付与する。効果は1ターン後の行動開始前まで持続する,,0.35
